Item_Identifier,level_1,Item_Weight
DRA12,0,11.6
DRA12,1,11.6
DRA12,2,11.6
DRA12,3,11.6
DRA12,4,11.6
DRA12,5,11.6
DRA12,6,11.6
DRA12,7,
DRA12,8,11.6
DRA24,0,19.35
DRA24,1,
DRA24,2,19.35
DRA24,3,
DRA24,4,19.35
DRA24,5,19.35
DRA24,6,19.35
DRA24,7,19.35
DRA24,8,19.35
DRA24,9,19.35
DRA59,0,8.27
DRA59,1,8.27
DRA59,2,8.27
DRA59,3,8.27
DRA59,4,
DRA59,5,
DRA59,6,8.27
DRA59,7,8.27
DRA59,8,8.27
DRA59,9,8.27
DRB01,0,7.39
DRB01,1,7.39
DRB01,2,
DRB01,3,
DRB01,4,7.39
DRB01,5,7.39
DRB01,6,7.39
DRB01,7,7.39
DRB13,0,6.115
DRB13,1,6.115
DRB13,2,6.115
DRB13,3,6.115
DRB13,4,6.115
DRB13,5,6.115
DRB13,6,6.115
DRB13,7,
DRB13,8,6.115
DRB24,0,8.785
DRB24,1,8.785
DRB24,2,8.785
DRB24,3,8.785
DRB24,4,8.785
DRB24,5,
DRB24,6,8.785
DRB24,7,8.785
DRB25,0,12.3
DRB25,1,
DRB25,2,12.3
DRB25,3,12.3
DRB25,4,12.3
DRB25,5,12.3
DRB25,6,12.3
DRB25,7,12.3
DRB25,8,12.3
DRB25,9,
DRB48,0,16.75
DRB48,1,
DRB48,2,16.75
DRB48,3,16.75
DRB48,4,16.75
DRB48,5,16.75
DRB48,6,16.75
DRB48,7,16.75
DRB48,8,16.75
DRC01,0,5.92
DRC01,1,5.92
DRC01,2,
DRC01,3,5.92
DRC01,4,5.92
DRC01,5,5.92
DRC01,6,5.92
DRC01,7,5.92
DRC01,8,5.92
DRC12,0,17.85
DRC12,1,17.85
DRC12,2,17.85
DRC12,3,17.85
DRC12,4,17.85
DRC12,5,
DRC12,6,17.85
DRC12,7,17.85
DRC13,0,8.26
DRC13,1,8.26
DRC13,2,8.26
DRC13,3,8.26
DRC13,4,8.26
DRC13,5,8.26
DRC13,6,8.26
DRC13,7,
DRC24,0,17.85
DRC24,1,17.85
DRC24,2,17.85
DRC24,3,17.85
DRC24,4,17.85
DRC24,5,17.85
DRC24,6,
DRC24,7,17.85
DRC24,8,
DRC25,0,
DRC25,1,5.73
DRC25,2,5.73
DRC25,3,5.73
DRC25,4,5.73
DRC25,5,5.73
DRC25,6,
DRC25,7,5.73
DRC25,8,5.73
DRC25,9,5.73
DRC27,0,13.8
DRC27,1,13.8
DRC27,2,13.8
DRC27,3,13.8
DRC27,4,13.8
DRC27,5,13.8
DRC27,6,13.8
DRC27,7,
DRC27,8,13.8
DRC27,9,
DRC36,0,
DRC36,1,13.0
DRC36,2,13.0
DRC36,3,13.0
DRC36,4,13.0
DRC36,5,13.0
DRC36,6,13.0
DRC36,7,
DRC36,8,13.0
DRC36,9,13.0
DRC49,0,
DRC49,1,8.67
DRC49,2,8.67
DRC49,3,8.67
DRC49,4,8.67
DRC49,5,8.67
DRC49,6,8.67
DRC49,7,8.67
DRC49,8,
DRD01,0,12.1
DRD01,1,12.1
DRD01,2,12.1
DRD01,3,12.1
DRD01,4,12.1
DRD01,5,12.1
DRD01,6,
DRD01,7,
DRD01,8,12.1
DRD12,0,6.96
DRD12,1,6.96
DRD12,2,6.96
DRD12,3,
DRD12,4,6.96
DRD12,5,6.96
DRD12,6,6.96
DRD12,7,6.96
DRD13,0,15.0
DRD13,1,15.0
DRD13,2,15.0
DRD13,3,15.0
DRD13,4,
DRD13,5,15.0
DRD13,6,15.0
DRD13,7,15.0
DRD15,0,10.6
DRD15,1,
DRD15,2,10.6
DRD15,3,10.6
DRD15,4,10.6
DRD15,5,10.6
DRD15,6,10.6
DRD15,7,10.6
DRD15,8,
DRD15,9,10.6
DRD24,0,13.85
DRD24,1,13.85
DRD24,2,13.85
DRD24,3,
DRD24,4,13.85
DRD24,5,13.85
DRD24,6,13.85
DRD24,7,13.85
DRD24,8,13.85
DRD24,9,
DRD25,0,6.135
DRD25,1,
DRD25,2,6.135
DRD25,3,
DRD25,4,6.135
DRD25,5,6.135
DRD25,6,6.135
DRD25,7,6.135
DRD25,8,6.135
DRD25,9,6.135
DRD27,0,18.75
DRD27,1,18.75
DRD27,2,18.75
DRD27,3,18.75
DRD27,4,
DRD27,5,18.75
DRD27,6,18.75
DRD27,7,18.75
DRD27,8,
DRD37,0,9.8
DRD37,1,9.8
DRD37,2,9.8
DRD37,3,9.8
DRD37,4,9.8
DRD37,5,9.8
DRD37,6,9.8
DRD37,7,
DRD37,8,9.8
DRD49,0,9.895
DRD49,1,9.895
DRD49,2,9.895
DRD49,3,9.895
DRD49,4,9.895
DRD49,5,9.895
DRD49,6,9.895
DRD49,7,
DRD60,0,
DRD60,1,15.7
DRD60,2,15.7
DRD60,3,15.7
DRD60,4,15.7
DRD60,5,15.7
DRD60,6,15.7
DRD60,7,15.7
DRD60,8,
DRE01,0,10.1
DRE01,1,10.1
DRE01,2,10.1
DRE01,3,10.1
DRE01,4,10.1
DRE01,5,
DRE01,6,10.1
DRE01,7,10.1
DRE01,8,10.1
DRE03,0,19.6
DRE03,1,19.6
DRE03,2,19.6
DRE03,3,19.6
DRE03,4,19.6
DRE03,5,19.6
DRE03,6,19.6
DRE03,7,19.6
DRE03,8,
DRE12,0,
DRE12,1,4.59
DRE12,2,4.59
DRE12,3,4.59
DRE12,4,4.59
DRE12,5,4.59
DRE12,6,4.59
DRE12,7,4.59
DRE13,0,6.28
DRE13,1,6.28
DRE13,2,6.28
DRE13,3,6.28
DRE13,4,
DRE13,5,6.28
DRE13,6,
DRE13,7,6.28
DRE13,8,6.28
DRE13,9,6.28
DRE15,0,13.35
DRE15,1,13.35
DRE15,2,13.35
DRE15,3,13.35
DRE15,4,
DRE15,5,
DRE15,6,13.35
DRE15,7,13.35
DRE15,8,13.35
DRE15,9,13.35
DRE25,0,15.35
DRE25,1,15.35
